AP-1,"Enchanté mademoiselle, je m'appelle <i>Armoise</i>.",,
APB,Inquire;Propose;Compliment,,
AP0,"Whatever, Phostnack here.",,
AP1,"I can't 'elp but wonder what your majestìque bodì is made of, mon chéri.",,
AP2,"I believe we should dàns together to thìs <i>lounge</i> musìque. Slowlì, charminglì, passionatelì...",,
AP3,"Your <i>turquoise</i> bodì is ...oh so very delicatlì shinì, marvellouslì sparklìng... Je suis <i>captiveted</i>.",,
AP10,"And you'll keep being that way, 'mon chéri'. Wondering, that is. ",,repulsed
AP20,And I believe we should not. Here's a stalemate for you. ,,repulsed
AP30,"Some people are lucky, I just so happen to be one of them. ",,
AP11,"Sacré bleu, is something troublìng your days, <i>darlìng</i>? I can hear you out ma fille, you onlì need to ask.",,
AP12,"Oh, but I'm redì to do whatevèr you ask of me for that <i>answer</i>, you see.",,
AP13,"You're very mystèrious... <i>Armoise</i>, he likes mystèrious.",,
AP11F,"Well, if I pay close attention to it there is one small thing that's troubling me: it's you.",,repulsed
AP12S,"I do. How about some floobing then? I can giggle and you'd dribble my bells, then we'd wobble and bobble and...",,aroused
AP13F,But Phostnack doesn't like Armoise.,,repulsed
AP21,"Oh, why so? Are you perhaps <i>insecure</i> of your skìlls? ",,
AP22,Don't be shy chéri I'll <i>guide</i> you.,,
AP23,"Very determìnd... <i>Armoise</i>, he likes determìnd.",,
AP21F,Actually I simply find you repulsive.,,repulsed
AP22S,So guide me then!,,aroused
AP23F,But Phostnack doesn't like Armoise.,,repulsed
AP31,"I can't help but wonder what your majestìque bodì is made of, mon chéri.",,
AP32,"I believe we should dàns together to thìs <i>lounge</i> musìque. Slowlì, charminglì, passionatelì...",,
AP33,"Some other people like confidence, as it happens I'm one of them.",,
AP31S,"It's made of sugar, Armoise, do you want some?",,aroused
AP32S,And dancing it shall be.,,aroused
AP33S,That's nice of you to say.,,
,,,
ADB,Inquire;Propose;Compliment,,
AD-1,"Enchanté monsieur, je m'appelle <i>Armoise</i>",,
AD0,"H-Hello, I'm Demolitos... but my friends call me Demmy!",,
AD1,Why are you carrìng those menacìng and 'eavy <i>axes</i> in an élevateur mon chéri? ,,
AD2,"Demmì, what a cute name. Can I touch your <i>axes</i> mon chéri?",,
AD3,"Those are verì... <i>wide</i> shoulders Demmì. <i>Armoise</i>, he likes <i>wide</i> shoulders.",,
AD10,I... I'm a warrior.,,confident
AD20,NO! I-I'm sorry... they were a present for my e-eighth birthday... Grandma made them!,,confident
AD3S,I... eheh... thank you!,,aroused
AD11,"Oh, I wonder what terrible <i>catastrophe</i> may have pushed you to become one, mon sweet Demmì.",,
AD12,"Oh, then we should <i>tussle</i>! Come here mon strong warrior!",,
AD13,"You look verì strong indeed! <i>Armoise</i>, he likes strong.",,
AD110,C-catastrophe? No! I just want to be the stro-strongest warrior!,,aroused
AD12S,"Ah! -Tuff, Ponf- Oh!",,confident
AD13S,I... uh... thank you!,,aroused
AD21,"Oh! How verì nice of her, and you got your majestìque shoulders swinging them, didn't you?",,
AD22,"Oh! How verì nice of her, show me how powerful you swing them mon chéri!",,
AD23,"You have verì wide shoulders mon chèrì. <i>Armoise</i>, he likes wide shoulders.",,
AD21S,Eheh... yes I did.,,aroused
AD22S,Ah. Oh. UuuuOh!,,confident
AD23S,I... eheh... thank you!,,aroused
AD111,"That's very cute of you Demmì, I wonder what you destinatiòn may be.",,
AD112,"Oh, then we should <i>tussle</i> right now! Come here mon strong warrior!",,
AD113,"You're very ambitious Demmì. <i>Armoise</i>, he likes ambitious.",,
AD111F,I... well... the second floor.,,
AD112S,"Ah! -Tuff, Ponf- Oh!",,aroused
AS113S,Oh... uh... I... eheh.,,aroused
,,,
DPB,Bark;Woof;Anf,,
DP-1,Bark Bark,,
DP0,"Bark, sure.",,
DP1,Bark!,,
DP2,Woof! Woof! ,,
DP3,Anf anf anf anf anf.,,
DP1F,"Whatever, goodbye.",,
DP20,You want to put what?! where?!,,repulsed
DP3S,"Ooh, that's a-d-o-r-a-b-l-e!",,aroused
DP21,Bark!,,
DP22,Woof! Woof! ,,
DP23,Anf anf anf anf anf.,,
DP21S,Between elbow and... that's outrageous! I'm in!,,aroused
